"age","gender","smu","rsm","ect","pc"
67,0,21.47107915,45.58509775,16.47739352,29.53616917
51,1,12.48228735,45.05594384,16.04410358,14.53521344
60,1,31.22410005,54.0826266,18.78509406,6.989905497
59,1,15.29117408,46.78211666,20.27542139,16.04470733
49,0,19.38675895,45.6602804,18.87556868,19.65112018
62,0,8.709735257,45.27290749,18.0025409,24.52545749
68,1,2.980534279,33.45402154,14.5536878,6.984114607
71,0,19.25638774,45.52384985,12.46470891,11.04067327
44,0,24.23707506,51.68506213,16.40507443,20.95091257
61,1,17.09782358,42.83184871,14.59141585,29.27966551
67,0,14.73580951,41.27420526,16.50250446,24.34591696
72,1,18.68563612,45.04431611,17.44413383,28.8826533
50,1,17.85424354,42.95594301,17.33284039,6.810690603
59,1,28.70882404,54.40331972,16.35936677,20.36910662
40,1,26.70692882,42.99150157,15.78715396,24.00894596
63,1,24.88463161,51.8335881,19.64098861,6.623704893
58,1,26.45462986,40.55638665,16.78439074,8.037757758
59,0,19.58294846,43.46163269,16.22351683,16.07456632
52,0,11.34564514,36.03981945,17.29626343,15.19933657
46,1,35.5787024,47.7201386,17.70127219,11.56824786
54,1,7.383789961,38.90371637,17.61517894,22.88770478
60,1,25.27742432,47.81892168,19.14507136,12.84686732
51,0,27.37693256,40.62661198,16.50924465,27.98925761
50,1,23.37685519,51.8389548,18.26709262,14.95093656
59,1,15.19964861,48.06620335,19.14130939,12.7789776
75,0,20.15211684,40.85693941,17.9731677,25.01899485
57,1,15.91226634,52.39636128,20.85265906,19.86508287
61,0,15.07608288,42.97582711,16.90859667,15.97854142
58,0,10.07247172,53.37914252,12.61717249,18.11409699
75,0,10.05422093,37.69962514,14.82684788,24.9230098
64,1,5.523592722,48.31433153,20.38308074,1.485719008
67,0,17.54599472,48.58719598,20.30194591,31.35954236
56,1,18.87217474,45.73138812,18.41117722,12.48811718
49,1,10.05246753,46.76678512,13.5909738,18.66368592
49,1,24.07281018,50.2071513,20.28453998,6.827180401
66,0,5.342318659,53.7347706,17.14859239,19.94577028
45,1,24.14087386,48.54195556,20.39419797,12.40347799
67,1,0.49979532,43.85474852,19.07688556,9.497070357
50,1,15.86000253,45.93204893,20.90002257,20.21762207
66,0,21.85189397,43.84892439,18.88282876,24.14203868
